Company Name,Industry,Symbol,Series,ISIN Code,Sector_Final
GMR Infrastructure Ltd.,CONSTRUCTION,GMRINFRA,EQ,INE776C01039,Real estate
Galaxy Surfactants Ltd.,CHEMICALS,GALAXYSURF,EQ,INE600K01018,Chemicals
Garware Technical Fibres Ltd.,TEXTILES,GARFIBRES,EQ,INE276A01018,Textiles
Gayatri Projects Ltd.,CONSTRUCTION,GAYAPROJ,EQ,INE336H01023,Real estate
General Insurance Corporation of India,FINANCIAL SERVICES,GICRE,EQ,INE481Y01014,Financial services
Gillette India Ltd.,CONSUMER GOODS,GILLETTE,EQ,INE322A01010,FMCG
Glaxosmithkline Pharmaceuticals Ltd.,PHARMA,GLAXO,EQ,INE159A01016,Healthcare
Glenmark Pharmaceuticals Ltd.,PHARMA,GLENMARK,EQ,INE935A01035,Healthcare
Godfrey Phillips India Ltd.,CONSUMER GOODS,GODFRYPHLP,EQ,INE260B01028,FMCG
Godrej Agrovet Ltd.,CONSUMER GOODS,GODREJAGRO,EQ,INE850D01014,FMCG
Godrej Consumer Products Ltd.,CONSUMER GOODS,GODREJCP,EQ,INE102D01028,FMCG
Godrej Industries Ltd.,CONSUMER GOODS,GODREJIND,EQ,INE233A01035,FMCG
Godrej Properties Ltd.,CONSTRUCTION,GODREJPROP,EQ,INE484J01027,Real estate
Granules India Ltd.,PHARMA,GRANULES,EQ,INE101D01020,Healthcare
Graphite India Ltd.,INDUSTRIAL MANUFACTURING,GRAPHITE,EQ,INE371A01025,Engineering & capital goods
Grasim Industries Ltd.,CEMENT & CEMENT PRODUCTS,GRASIM,EQ,INE047A01021,Building materials
Great Eastern Shipping Co. Ltd.,SERVICES,GESHIP,EQ,INE017A01032,Services
Greaves Cotton Ltd.,INDUSTRIAL MANUFACTURING,GREAVESCOT,EQ,INE224A01026,Engineering & capital goods
Grindwell Norton Ltd.,INDUSTRIAL MANUFACTURING,GRINDWELL,EQ,INE536A01023,Engineering & capital goods
Gujarat Alkalies & Chemicals Ltd.,CHEMICALS,GUJALKALI,EQ,INE186A01019,Chemicals
Gujarat Gas Ltd.,ENERGY,GUJGASLTD,EQ,INE844O01030,Energy
Gujarat Mineral Development Corporation Ltd.,METALS,GMDCLTD,EQ,INE131A01031,Metals
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,CHEMICALS,GNFC,EQ,INE113A01013,Chemicals
Gujarat Pipavav Port Ltd.,SERVICES,GPPL,EQ,INE517F01014,Services
Gujarat State Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES,GSFC,EQ,INE026A01025,Fertilizers
Gujarat State Petronet Ltd.,ENERGY,GSPL,EQ,INE246F01010,Energy
Gulf Oil Lubricants India Ltd.,ENERGY,GULFOILLUB,EQ,INE635Q01029,Energy
H.E.G. Ltd.,INDUSTRIAL MANUFACTURING,HEG,EQ,INE545A01016,Engineering & capital goods
HCL Technologies Ltd.,IT,HCLTECH,EQ,INE860A01027,Software services
HDFC Asset Management Company Ltd.,FINANCIAL SERVICES,HDFCAMC,EQ,INE127D01025,Financial services
HDFC Bank Ltd.,FINANCIAL SERVICES,HDFCBANK,EQ,INE040A01034,Financial services
HDFC Life Insurance Company Ltd.,FINANCIAL SERVICES,HDFCLIFE,EQ,INE795G01014,Financial services
HFCL Ltd.,TELECOM,HFCL,EQ,INE548A01028,Telecom
Hatsun Agro Product Ltd.,CONSUMER GOODS,HATSUN,EQ,INE473B01035,FMCG
Havells India Ltd.,CONSUMER GOODS,HAVELLS,EQ,INE176B01034,FMCG
HeidelbergCement India Ltd.,CEMENT & CEMENT PRODUCTS,HEIDELBERG,EQ,INE578A01017,Building materials
Heritage Foods Ltd.,CONSUMER GOODS,HERITGFOOD,EQ,INE978A01027,FMCG
Hero MotoCorp Ltd.,AUTOMOBILE,HEROMOTOCO,EQ,INE158A01026,Auto ancillary
Hexaware Technologies Ltd.,IT,HEXAWARE,EQ,INE093A01033,Software services
Himadri Speciality Chemical Ltd.,CHEMICALS,HSCL,EQ,INE019C01026,Chemicals
Himatsingka Seide Ltd.,TEXTILES,HIMATSEIDE,EQ,INE049A01027,Textiles
Hindalco Industries Ltd.,METALS,HINDALCO,EQ,INE038A01020,Metals
Hindustan Aeronautics Ltd.,INDUSTRIAL MANUFACTURING,HAL,EQ,INE066F01012,Engineering & capital goods
Hindustan Copper Ltd.,METALS,HINDCOPPER,EQ,INE531E01026,Metals
Hindustan Petroleum Corporation Ltd.,ENERGY,HINDPETRO,EQ,INE094A01015,Energy
Hindustan Unilever Ltd.,CONSUMER GOODS,HINDUNILVR,EQ,INE030A01027,FMCG
Hindustan Zinc Ltd.,METALS,HINDZINC,EQ,INE267A01025,Metals
Honeywell Automation India Ltd.,INDUSTRIAL MANUFACTURING,HONAUT,EQ,INE671A01010,Engineering & capital goods
Housing & Urban Development Corporation Ltd.,FINANCIAL SERVICES,HUDCO,EQ,INE031A01017,Financial services
Housing Development Finance Corporation Ltd.,FINANCIAL SERVICES,HDFC,EQ,INE001A01036,Financial services
ICICI Bank Ltd.,FINANCIAL SERVICES,ICICIBANK,EQ,INE090A01021,Financial services
ICICI Lombard General Insurance Company Ltd.,FINANCIAL SERVICES,ICICIGI,EQ,INE765G01017,Financial services
ICICI Prudential Life Insurance Company Ltd.,FINANCIAL SERVICES,ICICIPRULI,EQ,INE726G01019,Financial services
ICICI Securities Ltd.,FINANCIAL SERVICES,ISEC,EQ,INE763G01038,Financial services
ICRA Ltd.,FINANCIAL SERVICES,ICRA,EQ,INE725G01011,Financial services
IDBI Bank Ltd.,FINANCIAL SERVICES,IDBI,EQ,INE008A01015,Financial services
IDFC First Bank Ltd.,FINANCIAL SERVICES,IDFCFIRSTB,EQ,INE092T01019,Financial services
IDFC Ltd.,FINANCIAL SERVICES,IDFC,EQ,INE043D01016,Financial services
IFB Industries Ltd.,CONSUMER GOODS,IFBIND,EQ,INE559A01017,FMCG
IFCI Ltd.,FINANCIAL SERVICES,IFCI,EQ,INE039A01010,Financial services
IIFL Finance Ltd.,FINANCIAL SERVICES,IIFL,EQ,INE530B01024,Financial services
IRB Infrastructure Developers Ltd.,CONSTRUCTION,IRB,EQ,INE821I01014,Real estate
IRCON International Ltd.,CONSTRUCTION,IRCON,EQ,INE962Y01013,Real estate
ITC Ltd.,CONSUMER GOODS,ITC,EQ,INE154A01025,FMCG
ITD Cementation India Ltd.,CONSTRUCTION,ITDCEM,EQ,INE686A01026,Real estate
ITI Ltd.,TELECOM,ITI,EQ,INE248A01017,Telecom
India Cements Ltd.,CEMENT & CEMENT PRODUCTS,INDIACEM,EQ,INE383A01012,Building materials
India Tourism Development Corporation Ltd.,SERVICES,ITDC,EQ,INE353K01014,Services
Indiabulls Housing Finance Ltd.,FINANCIAL SERVICES,IBULHSGFIN,EQ,INE148I01020,Financial services
Indiabulls Integrated Services Ltd.,IT,IBULISL,EQ,INE126M01010,Software services
Indiabulls Real Estate Ltd.,CONSTRUCTION,IBREALEST,EQ,INE069I01010,Real estate
Indiabulls Ventures Ltd.,FINANCIAL SERVICES,IBVENTURES,EQ,INE274G01010,Financial services
Indiamart Intermesh Ltd.,CONSUMER GOODS,INDIAMART,EQ,INE933S01016,FMCG
Indian Bank,FINANCIAL SERVICES,INDIANB,EQ,INE562A01011,Financial services
Indian Energy Exchange Ltd.,FINANCIAL SERVICES,IEX,EQ,INE022Q01020,Financial services
Indian Hotels Co. Ltd.,SERVICES,INDHOTEL,EQ,INE053A01029,Services
Indian Oil Corporation Ltd.,ENERGY,IOC,EQ,INE242A01010,Energy
Indian Overseas Bank ,FINANCIAL SERVICES,IOB,EQ,INE565A01014,Financial services
IndoStar Capital Finance Ltd.,FINANCIAL SERVICES,INDOSTAR,EQ,INE896L01010,Financial services
Indraprastha Gas Ltd.,ENERGY,IGL,EQ,INE203G01027,Energy
IndusInd Bank Ltd.,FINANCIAL SERVICES,INDUSINDBK,EQ,INE095A01012,Financial services
Infibeam Avenues Ltd.,IT,INFIBEAM,EQ,INE483S01020,Software services
Info Edge (India) Ltd.,IT,NAUKRI,EQ,INE663F01024,Software services
Infosys Ltd.,IT,INFY,EQ,INE009A01021,Software services
Inox Leisure Ltd.,MEDIA & ENTERTAINMENT,INOXLEISUR,EQ,INE312H01016,Media & entertainment
Intellect Design Arena Ltd.,IT,INTELLECT,EQ,INE306R01017,Software services
InterGlobe Aviation Ltd.,SERVICES,INDIGO,EQ,INE646L01027,Services
Ipca Laboratories Ltd.,PHARMA,IPCALAB,EQ,INE571A01020,Healthcare
J.B. Chemicals & Pharmaceuticals Ltd.,PHARMA,JBCHEPHARM,EQ,INE572A01028,Healthcare
J.K. Cement Ltd.,CEMENT & CEMENT PRODUCTS,JKCEMENT,EQ,INE823G01014,Building materials
JK Lakshmi Cement Ltd.,CEMENT & CEMENT PRODUCTS,JKLAKSHMI,EQ,INE786A01032,Building materials
JK Paper Ltd.,PAPER,JKPAPER,EQ,INE789E01012,Miscellaneous
JK Tyre & Industries Ltd.,AUTOMOBILE,JKTYRE,EQ,INE573A01042,Auto ancillary
JM Financial Ltd.,FINANCIAL SERVICES,JMFINANCIL,EQ,INE780C01023,Financial services
JSW Energy Ltd.,ENERGY,JSWENERGY,EQ,INE121E01018,Energy
JSW Steel Ltd.,METALS,JSWSTEEL,EQ,INE019A01038,Metals
Jagran Prakashan Ltd.,MEDIA & ENTERTAINMENT,JAGRAN,EQ,INE199G01027,Media & entertainment
Jai Corp Ltd.,INDUSTRIAL MANUFACTURING,JAICORPLTD,EQ,INE070D01027,Engineering & capital goods
Jain Irrigation Systems Ltd.,INDUSTRIAL MANUFACTURING,JISLJALEQS,EQ,INE175A01038,Engineering & capital goods
Jammu & Kashmir Bank Ltd.,FINANCIAL SERVICES,J&KBANK,EQ,INE168A01041,Financial services
Jamna Auto Industries Ltd.,AUTOMOBILE,JAMNAAUTO,EQ,INE039C01032,Auto ancillary
Jindal Saw Ltd.,METALS,JINDALSAW,EQ,INE324A01024,Metals
Jindal Stainless (Hisar) Ltd.,METALS,JSLHISAR,EQ,INE455T01018,Metals
Jindal Stainless Ltd.,METALS,JSL,EQ,INE220G01021,Metals
Jindal Steel & Power Ltd.,METALS,JINDALSTEL,EQ,INE749A01030,Metals
Johnson Controls - Hitachi Air Conditioning India Ltd.,CONSUMER GOODS,JCHAC,EQ,INE782A01015,FMCG
Jubilant Foodworks Ltd.,CONSUMER GOODS,JUBLFOOD,EQ,INE797F01012,FMCG
Jubilant Life Sciences Ltd.,PHARMA,JUBILANT,EQ,INE700A01033,Healthcare
Justdial Ltd.,IT,JUSTDIAL,EQ,INE599M01018,Software services
Jyothy Labs Ltd.,CONSUMER GOODS,JYOTHYLAB,EQ,INE668F01031,FMCG
K.P.R. Mill Ltd.,TEXTILES,KPRMILL,EQ,INE930H01023,Textiles
KEI Industries Ltd.,INDUSTRIAL MANUFACTURING,KEI,EQ,INE878B01027,Engineering & capital goods
KNR Constructions Ltd.,CONSTRUCTION,KNRCON,EQ,INE634I01029,Real estate
KPIT Technologies Ltd.,IT,KPITTECH,EQ,INE04I401011,Software services
KRBL Ltd.,CONSUMER GOODS,KRBL,EQ,INE001B01026,FMCG
Kajaria Ceramics Ltd.,CONSTRUCTION,KAJARIACER,EQ,INE217B01036,Real estate
Kalpataru Power Transmission Ltd.,ENERGY,KALPATPOWR,EQ,INE220B01022,Energy
Kansai Nerolac Paints Ltd.,CONSUMER GOODS,KANSAINER,EQ,INE531A01024,FMCG
Karnataka Bank Ltd.,FINANCIAL SERVICES,KTKBANK,EQ,INE614B01018,Financial services
Karur Vysya Bank Ltd.,FINANCIAL SERVICES,KARURVYSYA,EQ,INE036D01028,Financial services
Kaveri Seed Company Ltd.,CONSUMER GOODS,KSCL,EQ,INE455I01029,FMCG
Kec International Ltd.,CONSTRUCTION,KEC,EQ,INE389H01022,Real estate
Kennametal India Ltd.,INDUSTRIAL MANUFACTURING,KENNAMET,EQ,INE717A01029,Engineering & capital goods
Kirloskar Oil Eng Ltd.,INDUSTRIAL MANUFACTURING,KIRLOSENG,EQ,INE146L01010,Engineering & capital goods
Kolte-Patil Developers Ltd.,CONSTRUCTION,KOLTEPATIL,EQ,INE094I01018,Real estate
Kotak Mahindra Bank Ltd.,FINANCIAL SERVICES,KOTAKBANK,EQ,INE237A01028,Financial services
L&T Finance Holdings Ltd.,FINANCIAL SERVICES,L&TFH,EQ,INE498L01015,Financial services
L&T Technology Services Ltd.,IT,LTTS,EQ,INE010V01017,Software services
LIC Housing Finance Ltd.,FINANCIAL SERVICES,LICHSGFIN,EQ,INE115A01026,Financial services
Lakshmi Machine Works Ltd.,INDUSTRIAL MANUFACTURING,LAXMIMACH,EQ,INE269B01029,Engineering & capital goods
Lakshmi Vilas Bank Ltd.,FINANCIAL SERVICES,LAKSHVILAS,EQ,INE694C01018,Financial services
Larsen & Toubro Infotech Ltd.,IT,LTI,EQ,INE214T01019,Software services
Larsen & Toubro Ltd.,CONSTRUCTION,LT,EQ,INE018A01030,Real estate
Laurus Labs Ltd.,PHARMA,LAURUSLABS,EQ,INE947Q01010,Healthcare
Lemon Tree Hotels Ltd.,SERVICES,LEMONTREE,EQ,INE970X01018,Services
Linde India Ltd.,CHEMICALS,LINDEINDIA,EQ,INE473A01011,Chemicals
Lupin Ltd.,PHARMA,LUPIN,EQ,INE326A01037,Healthcare
Lux Industries Ltd.,TEXTILES,LUXIND,EQ,INE150G01020,Textiles
MAS Financial Services Ltd.,FINANCIAL SERVICES,MASFIN,EQ,INE348L01012,Financial services
MMTC Ltd.,SERVICES,MMTC,EQ,INE123F01029,Services
MOIL Ltd.,METALS,MOIL,EQ,INE490G01020,Metals
MRF Ltd.,AUTOMOBILE,MRF,EQ,INE883A01011,Auto ancillary
Magma Fincorp Ltd.,FINANCIAL SERVICES,MAGMA,EQ,INE511C01022,Financial services
Mahanagar Gas Ltd.,ENERGY,MGL,EQ,INE002S01010,Energy
Maharashtra Scooters Ltd.,AUTOMOBILE,MAHSCOOTER,EQ,INE288A01013,Auto ancillary
Maharashtra Seamless Ltd.,METALS,MAHSEAMLES,EQ,INE271B01025,Metals
Mahindra & Mahindra Financial Services Ltd.,FINANCIAL SERVICES,M&MFIN,EQ,INE774D01024,Financial services
Mahindra & Mahindra Ltd.,AUTOMOBILE,M&M,EQ,INE101A01026,Auto ancillary
Mahindra CIE Automotive Ltd.,INDUSTRIAL MANUFACTURING,MAHINDCIE,EQ,INE536H01010,Engineering & capital goods
Mahindra Holidays & Resorts India Ltd.,SERVICES,MHRIL,EQ,INE998I01010,Services
Mahindra Logistics Ltd.,SERVICES,MAHLOG,EQ,INE766P01016,Services
Manappuram Finance Ltd.,FINANCIAL SERVICES,MANAPPURAM,EQ,INE522D01027,Financial services
Mangalore Refinery & Petrochemicals Ltd.,ENERGY,MRPL,EQ,INE103A01014,Energy
Marico Ltd.,CONSUMER GOODS,MARICO,EQ,INE196A01026,FMCG
Maruti Suzuki India Ltd.,AUTOMOBILE,MARUTI,EQ,INE585B01010,Auto ancillary
Max Financial Services Ltd.,FINANCIAL SERVICES,MFSL,EQ,INE180A01020,Financial services
Metropolis Healthcare Ltd.,HEALTHCARE SERVICES,METROPOLIS,EQ,INE112L01020,Healthcare
MindTree Ltd.,IT,MINDTREE,EQ,INE018I01017,Software services
Minda Corporation Ltd.,AUTOMOBILE,MINDACORP,EQ,INE842C01021,Auto ancillary
Minda Industries Ltd.,AUTOMOBILE,MINDAIND,EQ,INE405E01023,Auto ancillary
Mishra Dhatu Nigam Ltd.,METALS,MIDHANI,EQ,INE099Z01011,Metals
Motherson Sumi Systems Ltd.,AUTOMOBILE,MOTHERSUMI,EQ,INE775A01035,Auto ancillary
Motilal Oswal Financial Services Ltd.,FINANCIAL SERVICES,MOTILALOFS,EQ,INE338I01027,Financial services
MphasiS Ltd.,IT,MPHASIS,EQ,INE356A01018,Software services
Multi Commodity Exchange of India Ltd.,FINANCIAL SERVICES,MCX,EQ,INE745G01035,Financial services
Muthoot Finance Ltd.,FINANCIAL SERVICES,MUTHOOTFIN,EQ,INE414G01012,Financial services
NATCO Pharma Ltd.,PHARMA,NATCOPHARM,EQ,INE987B01026,Healthcare
NBCC (India) Ltd.,CONSTRUCTION,NBCC,EQ,INE095N01031,Real estate
NCC Ltd.,CONSTRUCTION,NCC,EQ,INE868B01028,Real estate
NESCO Ltd.,SERVICES,NESCO,EQ,INE317F01035,Services
NHPC Ltd.,ENERGY,NHPC,EQ,INE848E01016,Energy
NIIT Technologies Ltd.,IT,NIITTECH,EQ,INE591G01017,Software services
NLC India Ltd.,ENERGY,NLCINDIA,EQ,INE589A01014,Energy
NMDC Ltd.,METALS,NMDC,EQ,INE584A01023,Metals
NTPC Ltd.,ENERGY,NTPC,EQ,INE733E01010,Energy
Narayana Hrudayalaya Ltd.,HEALTHCARE SERVICES,NH,EQ,INE410P01011,Healthcare
National Aluminium Co. Ltd.,METALS,NATIONALUM,EQ,INE139A01034,Metals
National Fertilizers Ltd.,FERTILISERS & PESTICIDES,NFL,EQ,INE870D01012,Fertilizers
Nava Bharat Ventures Ltd.,ENERGY,NBVENTURES,EQ,INE725A01022,Energy
Navin Fluorine International Ltd.,CHEMICALS,NAVINFLUOR,EQ,INE048G01026,Chemicals
Nestle India Ltd.,CONSUMER GOODS,NESTLEIND,EQ,INE239A01016,FMCG
Network18 Media & Investments Ltd.,MEDIA & ENTERTAINMENT,NETWORK18,EQ,INE870H01013,Media & entertainment
Nilkamal Ltd.,INDUSTRIAL MANUFACTURING,NILKAMAL,EQ,INE310A01015,Engineering & capital goods
Nippon Life India Asset Management Ltd.,FINANCIAL SERVICES,NAM-INDIA,EQ,INE298J01013,Financial services
Oberoi Realty Ltd.,CONSTRUCTION,OBEROIRLTY,EQ,INE093I01010,Real estate
Oil & Natural Gas Corporation Ltd.,ENERGY,ONGC,EQ,INE213A01029,Energy
Oil India Ltd.,ENERGY,OIL,EQ,INE274J01014,Energy
Omaxe Ltd.,CONSTRUCTION,OMAXE,EQ,INE800H01010,Real estate
Oracle Financial Services Software Ltd.,IT,OFSS,EQ,INE881D01027,Software services
Orient Cement Ltd.,CEMENT & CEMENT PRODUCTS,ORIENTCEM,EQ,INE876N01018,Building materials
Orient Electric Ltd.,CONSUMER GOODS,ORIENTELEC,EQ,INE142Z01019,FMCG
Orient Refractories Ltd.,INDUSTRIAL MANUFACTURING,ORIENTREF,EQ,INE743M01012,Engineering & capital goods
PC Jeweller Ltd.,CONSUMER GOODS,PCJEWELLER,EQ,INE785M01013,FMCG
PI Industries Ltd.,FERTILISERS & PESTICIDES,PIIND,EQ,INE603J01030,Fertilizers
PNB Housing Finance Ltd.,FINANCIAL SERVICES,PNBHOUSING,EQ,INE572E01012,Financial services
PNC Infratech Ltd.,CONSTRUCTION,PNCINFRA,EQ,INE195J01029,Real estate
PTC India Ltd.,ENERGY,PTC,EQ,INE877F01012,Energy
PVR Ltd.,MEDIA & ENTERTAINMENT,PVR,EQ,INE191H01014,Media & entertainment
Page Industries Ltd.,TEXTILES,PAGEIND,EQ,INE761H01022,Textiles
Parag Milk Foods Ltd.,CONSUMER GOODS,PARAGMILK,EQ,INE883N01014,FMCG
Persistent Systems Ltd.,IT,PERSISTENT,EQ,INE262H01013,Software services
Petronet LNG Ltd.,ENERGY,PETRONET,EQ,INE347G01014,Energy
Pfizer Ltd.,PHARMA,PFIZER,EQ,INE182A01018,Healthcare
Phillips Carbon Black Ltd.,CHEMICALS,PHILIPCARB,EQ,INE602A01023,Chemicals
Phoenix Mills Ltd.,CONSTRUCTION,PHOENIXLTD,EQ,INE211B01039,Real estate
Pidilite Industries Ltd.,CHEMICALS,PIDILITIND,EQ,INE318A01026,Chemicals
Piramal Enterprises Ltd.,PHARMA,PEL,EQ,INE140A01024,Healthcare
Polycab India Ltd.,INDUSTRIAL MANUFACTURING,POLYCAB,EQ,INE455K01017,Engineering & capital goods
Power Finance Corporation Ltd.,FINANCIAL SERVICES,PFC,EQ,INE134E01011,Financial services
Power Grid Corporation of India Ltd.,ENERGY,POWERGRID,EQ,INE752E01010,Energy
Praj Industries Ltd.,INDUSTRIAL MANUFACTURING,PRAJIND,EQ,INE074A01025,Engineering & capital goods
Prestige Estates Projects Ltd.,CONSTRUCTION,PRESTIGE,EQ,INE811K01011,Real estate
Prism Johnson Ltd.,CEMENT & CEMENT PRODUCTS,PRSMJOHNSN,EQ,INE010A01011,Building materials
Procter & Gamble Health Ltd.,PHARMA,PGHL,EQ,INE199A01012,Healthcare
Procter & Gamble Hygiene & Health Care Ltd.,CONSUMER GOODS,PGHH,EQ,INE179A01014,FMCG
Punjab National Bank,FINANCIAL SERVICES,PNB,EQ,INE160A01022,Financial services
Quess Corp Ltd.,SERVICES,QUESS,EQ,INE615P01015,Services
